Ligand,Score
Nlig_ligand_2012,-10.359
                  -10.359
                  -9.691
                  -9.589
                  -9.543
                  -8.953
                  -8.766
                  -8.463
                  -8.423
                  -8.410
Nlig_ligand_2166,-10.052
                  -10.052
                  -9.409
                  -9.007
                  -8.909
                  -8.803
                  -8.785
                  -8.279
                  -8.211
                  -8.125
Nlig_ligand_1215,-9.919
                  -9.919
                  -9.532
                  -9.321
                  -9.277
                  -9.215
                  -9.176
                  -9.003
                  -8.821
                  -8.676
Nlig_ligand_2004,-9.815
                  -9.815
                  -9.116
                  -8.581
                  -8.526
                  -8.472
                  -8.036
                  -7.913
                  -7.667
                  -7.637
Nlig_ligand_2029,-9.781
                  -9.781
                  -8.908
                  -8.771
                  -8.599
                  -8.565
                  -8.402
                  -7.694
                  -7.583
                  -7.455
Nlig_ligand_2013,-9.776
                  -9.776
                  -9.640
                  -9.578
                  -8.561
                  -8.464
                  -8.458
                  -8.407
                  -8.259
                  -8.220
Nlig_ligand_2133,-9.688
                  -9.688
                  -9.408
                  -9.077
                  -9.025
                  -8.502
                  -8.408
                  -8.367
                  -8.050
                  -7.617
Nlig_ligand_1901,-9.650
                  -9.650
                  -9.102
                  -8.235
                  -8.183
                  -8.126
                  -7.788
                  -7.592
                  -7.529
                  -7.338
Nlig_ligand_1990,-9.618
                  -9.618
                  -8.795
                  -8.511
                  -8.088
                  -7.947
                  -7.924
                  -7.457
                  -7.436
                  -7.343
Nlig_ligand_2110,-9.599
                  -9.599
                  -9.201
                  -9.120
                  -8.566
                  -8.563
                  -8.266
                  -8.128
                  -7.888
                  -7.838
Nlig_ligand_2162,-9.575
                  -9.575
                  -8.554
                  -8.223
                  -7.809
                  -7.808
                  -7.799
                  -7.703
                  -7.363
                  -7.307
Nlig_ligand_660,-9.573
                  -9.573
                  -9.078
                  -8.705
                  -8.464
                  -8.405
                  -8.362
                  -8.340
                  -8.192
                  -8.080
Nlig_ligand_2134,-9.571
                  -9.571
                  -9.352
                  -9.102
                  -8.984
                  -8.667
                  -8.600
                  -8.587
                  -8.402
                  -8.317
Nlig_ligand_783,-9.562
                  -9.562
                  -8.972
                  -8.808
                  -8.515
                  -8.266
                  -8.248
                  -8.086
                  -8.068
                  -8.025
Nlig_ligand_1951,-9.560
                  -9.560
                  -9.340
                  -8.851
                  -8.692
                  -8.617
                  -8.416
                  -8.390
                  -8.240
                  -8.164
Nlig_ligand_1991,-9.556
                  -9.556
                  -9.289
                  -8.682
                  -8.416
                  -8.036
                  -7.772
                  -7.683
                  -7.648
                  -7.546
Nlig_ligand_2109,-9.551
                  -9.551
                  -8.596
                  -8.399
                  -8.356
                  -8.298
                  -8.089
                  -7.957
                  -7.856
                  -7.774
Nlig_ligand_1846,-9.533
                  -9.533
                  -8.652
                  -8.444
                  -8.385
                  -8.141
                  -8.119
                  -7.986
                  -7.938
                  -7.484
Nlig_ligand_1765,-9.516
                  -9.516
                  -9.170
                  -8.814
                  -8.669
                  -8.482
                  -8.401
                  -8.347
                  -8.294
                  -8.245
Nlig_ligand_2151,-9.506
                  -9.506
                  -8.615
                  -8.605
                  -8.588
                  -8.234
                  -8.225
                  -7.907
                  -7.798
                  -7.475
Nlig_ligand_2360,-9.485
                  -9.485
                  -9.203
                  -9.060
                  -8.883
                  -8.704
                  -8.641
                  -8.476
                  -8.410
                  -8.328
Nlig_ligand_1931,-9.478
                  -9.478
                  -8.975
                  -8.974
                  -8.735
                  -8.641
                  -8.623
                  -8.559
                  -8.549
                  -8.321
Nlig_ligand_642,-9.459
                  -9.459
                  -9.114
                  -8.956
                  -8.812
                  -8.736
                  -8.495
                  -8.451
                  -8.364
                  -8.350
Nlig_ligand_360,-9.447
                  -9.447
                  -9.100
                  -8.827
                  -8.107
                  -7.804
                  -7.567
                  -7.119
                  -6.894
                  -6.871
Nlig_ligand_110,-9.437
                  -9.437
                  -8.955
                  -8.949
                  -8.399
                  -8.233
                  -7.843
                  -7.328
                  -7.233
                  -7.213
Nlig_ligand_2006,-9.436
                  -9.436
                  -8.905
                  -8.736
                  -8.562
                  -8.544
                  -8.190
                  -8.046
                  -8.019
                  -7.774
Nlig_ligand_85,-9.427
                  -9.427
                  -9.351
                  -8.980
                  -8.900
                  -8.643
                  -8.553
                  -8.396
                  -7.671
                  -7.563
Nlig_ligand_857,-9.414
                  -9.414
                  -8.949
                  -8.387
                  -8.235
                  -8.113
                  -7.673
                  -7.582
                  -7.575
                  -7.492
Nlig_ligand_2005,-9.392
                  -9.392
                  -9.221
                  -9.210
                  -8.356
                  -7.999
                  -7.978
                  -7.772
                  -7.659
                  -7.602
Nlig_ligand_1927,-9.389
                  -9.389
                  -9.294
                  -9.025
                  -8.258
                  -8.162
                  -8.159
                  -8.007
                  -7.926
                  -7.844
Nlig_ligand_1832,-9.385
                  -9.385
                  -8.887
                  -8.461
                  -8.037
                  -7.997
                  -7.847
                  -7.805
                  -7.594
                  -7.386
Nlig_ligand_1069,-9.382
                  -9.382
                  -9.137
                  -8.806
                  -8.621
                  -8.246
                  -8.089
                  -8.084
                  -8.081
                  -7.924
Nlig_ligand_2158,-9.359
                  -9.359
                  -8.543
                  -8.512
                  -8.299
                  -8.291
                  -8.024
                  -7.397
                  -7.144
                  -7.124
Nlig_ligand_653,-9.359
                  -9.359
                  -8.854
                  -8.619
                  -8.102
                  -8.060
                  -7.853
                  -7.850
                  -7.644
                  -7.541
Nlig_ligand_1250,-9.355
                  -9.355
                  -8.467
                  -8.056
                  -7.975
                  -7.931
                  -7.599
                  -7.592
                  -7.503
                  -7.148
Nlig_ligand_2154,-9.331
                  -9.331
                  -9.286
                  -8.593
                  -8.209
                  -7.906
                  -7.764
                  -7.710
                  -7.522
                  -7.167
Nlig_ligand_1096,-9.326
                  -9.326
                  -8.949
                  -8.722
                  -8.460
                  -8.340
                  -8.045
                  -7.997
                  -7.897
                  -7.539
Nlig_ligand_1907,-9.325
                  -9.325
                  -8.806
                  -8.533
                  -8.304
                  -8.137
                  -7.855
                  -7.740
                  -7.584
                  -7.438
Nlig_ligand_361,-9.321
                  -9.321
                  -8.559
                  -8.305
                  -8.253
                  -8.090
                  -7.922
                  -7.808
                  -7.679
                  -7.430
Nlig_ligand_897,-9.315
                  -9.315
                  -8.696
                  -8.429
                  -8.224
                  -8.122
                  -8.014
                  -8.003
                  -7.991
                  -7.924
Nlig_ligand_1414,-9.310
                  -9.310
                  -9.094
                  -8.637
                  -8.417
                  -8.386
                  -8.380
                  -8.082
                  -7.780
                  -7.674
Nlig_ligand_169,-9.308
                  -9.308
                  -8.480
                  -8.461
                  -8.387
                  -8.247
                  -8.089
                  -8.047
                  -8.042
                  -8.038
Nlig_ligand_1902,-9.307
                  -9.307
                  -8.685
                  -8.539
                  -8.207
                  -7.881
                  -7.831
                  -7.715
                  -7.552
                  -7.208
Nlig_ligand_1109,-9.305
                  -9.305
                  -8.144
                  -7.853
                  -7.713
                  -7.105
                  -7.104
                  -7.075
                  -7.028
                  -6.959
Nlig_ligand_1889,-9.291
                  -9.291
                  -8.135
                  -8.019
                  -8.007
                  -7.838
                  -7.568
                  -7.411
                  -7.110
                  -6.886
Nlig_ligand_2155,-9.290
                  -9.290
                  -9.157
                  -8.486
                  -7.979
                  -7.693
                  -7.602
                  -7.522
                  -7.492
                  -7.297
Nlig_ligand_1664,-9.250
                  -9.250
                  -8.593
                  -7.770
                  -7.539
                  -7.418
                  -7.219
                  -7.201
                  -7.177
                  -6.985
Nlig_ligand_1888,-9.250
                  -9.250
                  -8.355
                  -8.024
                  -7.808
                  -7.746
                  -7.658
                  -7.515
                  -7.449
                  -7.303
Nlig_ligand_794,-9.247
                  -9.247
                  -8.532
                  -8.239
                  -7.957
                  -7.900
                  -7.733
                  -7.359
                  -7.353
                  -7.306
Nlig_ligand_1768,-9.238
                  -9.238
                  -8.895
                  -8.875
                  -8.399
                  -8.328
                  -8.158
                  -8.069
                  -8.043
                  -7.937
Nlig_ligand_1933,-9.237
                  -9.237
                  -8.733
                  -8.403
                  -7.601
                  -7.173
                  -7.095
                  -7.094
                  -7.074
                  -7.059
Nlig_ligand_1821,-9.233
                  -9.233
                  -8.382
                  -7.885
                  -7.687
                  -7.640
                  -7.477
                  -7.457
                  -7.329
